Kilometrage_parcourus,Sexe,Carburant,Zone,Exposition,age_du_conducteur,age_du_vehicule,ancienpermis,nbre_sinistre,charge_totale
5115,Women,essence,Casablanca-Settat,0.1901,44.84,8.55,10.62,0,0
7881,Man,diesel,Casablanca-Settat,0.7418,55.55,16.13,10,1,1001.7
8913,Women,diesel,Tanger-Tetouan-AlHoceima,0.1009,67.87,17.81,49.23,2,3592.1
5019,Women,essence,Tanger-Tetouan-AlHoceima,0.5921,55.47,13.54,6.38,0,0
3976,Man,diesel,Tanger-Tetouan-AlHoceima,0.5505,25.34,13.78,1.61,0,0
3811,Man,essence,BeniMellal-Khenifra,0.2019,46.5,6.04,18.3,0,0
4154,Man,essence,Tanger-Tetouan-AlHoceima,0.737,43.99,5.54,8.99,2,5314.78
1250,Man,essence,Tanger-Tetouan-AlHoceima,0.4612,44.75,20.57,19.97,0,0
2195,Women,essence,Laayoune-SakiaElHamra,0.3418,66.86,11.61,36.54,0,0
3312,Women,diesel,Rabat-Sale-Kenitra,0.5056,29.9,16.87,8.35,1,622.66
8805,Women,essence,Tanger-Tetouan-AlHoceima,0.4358,70.13,8.96,41.86,1,2566.3
6707,Women,diesel,Tanger-Tetouan-AlHoceima,0.0799,36.13,19.77,1.57,0,0
6348,Women,diesel,Souss-Massa,0.0039,23.1,8.13,1.94,0,0
7550,Women,diesel,Marrakech-Safi,0.1504,50.66,13.83,23.28,0,0
2455,Women,essence,Casablanca-Settat,0.4953,44.46,8.81,17.91,0,0
5689,Man,essence,Marrakech-Safi,0.1466,62.65,12.09,18.14,0,0
6447,Man,essence,Marrakech-Safi,0.9677,70.29,10.45,24.68,0,0
8021,Women,diesel,Tanger-Tetouan-AlHoceima,0.6792,24.02,12.83,0.51,1,3156.12
3047,Man,essence,Tanger-Tetouan-AlHoceima,0.6673,53.37,14.78,18.06,0,0
5413,Women,essence,Souss-Massa,0.5827,61.35,6.58,28.67,1,1309.53
388,Women,essence,Casablanca-Settat,0.6205,28.71,11.74,3.8,1,1585.21
5533,Women,diesel,BeniMellal-Khenifra,0.4012,43.49,15.52,4.38,1,2640.95
1371,Man,diesel,Tanger-Tetouan-AlHoceima,0.1107,43.91,4.49,10.87,0,0
3539,Man,essence,Casablanca-Settat,0.932,68.62,17.1,32.99,1,812.25
606,Women,diesel,Tanger-Tetouan-AlHoceima,0.0536,46.32,5.46,5.3,0,0
3558,Man,diesel,Tanger-Tetouan-AlHoceima,0.7807,35.69,5.58,10.32,0,0
1378,Women,diesel,Dakhla-OuedEddahab,0.8103,22.61,6.51,1.75,0,0
339,Women,essence,Marrakech-Safi,0.8311,25.33,5.65,2.66,2,2271.84
9998,Women,essence,Casablanca-Settat,0.7991,57.97,7.98,8.48,0,0
2836,Women,essence,Tanger-Tetouan-AlHoceima,0.4161,54.97,16.45,0.31,0,0
4588,Man,diesel,Marrakech-Safi,0.0273,63.43,13.05,25.11,0,0
783,Women,diesel,Marrakech-Safi,0.9702,31.21,10.03,7.96,2,3846.77
556,Man,diesel,Marrakech-Safi,0.0828,59.04,5.92,40.93,0,0
3874,Man,diesel,Marrakech-Safi,0.7722,62.46,9.97,14.13,0,0
8322,Women,diesel,Tanger-Tetouan-AlHoceima,0.6216,36.37,13.72,4.69,0,0
2513,Man,essence,Tanger-Tetouan-AlHoceima,0.6621,52.6,15.79,12.91,1,1467.85
8608,Man,diesel,Casablanca-Settat,0.595,25.1,18.29,2.8,1,5835.48
7535,Women,essence,Tanger-Tetouan-AlHoceima,0.9171,56.45,8.41,23.04,1,1158.26
7211,Women,diesel,Tanger-Tetouan-AlHoceima,0.1186,69.71,17.51,7.66,0,0
9272,Man,diesel,Casablanca-Settat,0.999,24.71,19.07,3.84,2,6493.9
3091,Women,essence,Casablanca-Settat,0.805,48.27,13.63,6.7,1,2964.82
1517,Women,diesel,Casablanca-Settat,0.7272,51.55,10.78,12.29,0,0
3632,Man,essence,Casablanca-Settat,0.8954,24.03,8.29,1.77,1,1816.95
2615,Man,essence,Casablanca-Settat,0.196,55.51,15.5,26.4,0,0
4211,Women,essence,Tanger-Tetouan-AlHoceima,0.5761,27.56,8.18,4.23,0,0
4602,Women,diesel,Guelmim,0.6452,54.03,7.98,30.08,2,4170.53
1352,Man,diesel,Casablanca-Settat,0.5299,22.6,16.77,2.07,1,5349.44
4702,Women,diesel,Tanger-Tetouan-AlHoceima,0.4657,53.69,9.8,16.33,2,3211.88
8868,Women,diesel,Fes-Meknes,0.0873,60.1,20.5,6.73,0,0
1573,Women,diesel,Rabat-Sale-Kenitra,0.1784,35.18,10.7,13.67,0,0
7619,Man,diesel,Laayoune-SakiaElHamra,0.6944,60.72,13.11,28.54,2,8393.36
1533,Women,diesel,Marrakech-Safi,0.0365,59.76,11.41,17.89,0,0
1520,Women,diesel,Marrakech-Safi,0.8779,62.4,3.78,35.22,1,944.29
3941,Women,essence,Marrakech-Safi,0.5626,39.42,15.85,2.45,2,3731.52
3834,Women,diesel,Marrakech-Safi,0.89,42.78,16.16,17.69,0,0
3203,Man,diesel,Casablanca-Settat,0.0817,52.12,6.44,15.87,0,0
1813,Man,diesel,Tanger-Tetouan-AlHoceima,0.4592,36.9,12.08,9.49,0,0
8921,Man,essence,Marrakech-Safi,0.8305,53.99,10.46,4.74,0,0
8122,Man,essence,Tanger-Tetouan-AlHoceima,0.8148,51.37,14.03,26.18,1,4270.11
7139,Women,essence,Casablanca-Settat,0.5206,54.34,6.12,11.67,0,0
3628,Man,diesel,Casablanca-Settat,0.711,60.63,14.27,40.53,0,0
2644,Man,essence,Casablanca-Settat,0.4161,21.49,8.12,2.58,0,0
234,Man,diesel,Marrakech-Safi,0.8586,28.82,5.79,2.62,1,3134.67
237,Women,essence,Souss-Massa,0.4969,57.52,9.23,2.37,0,0
8045,Women,essence,Tanger-Tetouan-AlHoceima,0.3143,46.39,6.23,22.74,1,1844.89
2686,Women,diesel,Marrakech-Safi,0.4376,52.85,19.83,14.16,0,0
8223,Women,essence,Casablanca-Settat,0.3491,35.16,9.36,13.47,1,2221.81
8219,Man,diesel,Casablanca-Settat,0.2785,66.66,16.45,37.6,0,0
4003,Women,diesel,Tanger-Tetouan-AlHoceima,0.3863,53.73,10.9,6.12,1,2587.43
1204,Women,essence,Tanger-Tetouan-AlHoceima,0.8637,45.75,19.06,12.21,0,0
9780,Man,diesel,Casablanca-Settat,0.9388,46.59,7.04,0.28,2,4510.98
6445,Man,essence,Casablanca-Settat,0.2148,23.82,16.64,1.87,0,0
5939,Women,essence,Marrakech-Safi,0.0998,58.51,5.92,10.37,0,0
3071,Women,diesel,Guelmim,0.413,48.68,5.58,22.82,0,0
5631,Women,diesel,Tanger-Tetouan-AlHoceima,0.4463,27.77,9.51,1.55,1,1488.41
4695,Women,diesel,Rabat-Sale-Kenitra,0.4035,36.47,19.15,12.16,0,0
2886,Man,diesel,Dakhla-OuedEddahab,0.1088,22.02,10.53,3.69,0,0
5886,Man,diesel,Rabat-Sale-Kenitra,0.5375,68.71,16.71,22.03,0,0
2142,Women,diesel,Marrakech-Safi,0.0413,36.67,11.41,3.56,0,0
6829,Women,essence,BeniMellal-Khenifra,0.077,32.45,16.57,7.48,0,0
9381,Man,diesel,Casablanca-Settat,0.632,50.09,11.46,15.14,0,0
8740,Man,essence,Tanger-Tetouan-AlHoceima,0.0381,68.08,10.5,20.7,0,0
6744,Women,diesel,Marrakech-Safi,0.6167,27.86,15.55,8.82,3,5417.4
1319,Women,diesel,BeniMellal-Khenifra,0.0822,37.1,20.81,13.06,0,0
9639,Man,essence,Casablanca-Settat,0.7891,71.37,20.6,33.59,3,8530.7
4837,Women,diesel,Rabat-Sale-Kenitra,0.28,34.55,19.53,5.79,1,4719.98
7485,Women,diesel,Marrakech-Safi,0.0072,36.96,17.7,4.7,0,0
7162,Man,essence,Guelmim,0.3583,55.2,1.03,25.72,1,6414.9
7833,Women,essence,Marrakech-Safi,0.8607,27.89,5.37,5.19,2,4125.08
2983,Women,essence,Tanger-Tetouan-AlHoceima,0.5842,48.31,21.74,0.87,1,3201.01
3202,Man,diesel,Tanger-Tetouan-AlHoceima,0.3048,23.42,3.95,3.09,1,1836.16
9342,Man,diesel,Fes-Meknes,0.92,50.91,10.58,28.84,1,5925.59
11,Women,diesel,Oriental,0.4844,48.23,15.74,25.45,0,0
7453,Man,diesel,Draa-Tafilalet,0.6042,40.58,13.51,20.04,3,8835.73
